hhidde,Sample,Sample_Type,read_count,r1_average_quality,r2_average_quality,unfiltered_closed_otu_count,filtered_closed_otu_count,unfiltered_de_novo_otu_count,filtered_de_novo_otu_count,unfiltered_swarm_otu_count,filtered_swarm_otu_count,sex,age
250,Z08152279,Cooking Area - Inside,10858,32.3,27.6,463,394,1815,1461,,,,
251,H08143721,Human,54821,30.9,26.5,347,194,2570,1021,1707,777,Male,31.70431
251,H08143722,Human,18003,31.1,26.6,203,199,1763,1238,1182,800,Male,17.37988
251,Z08151844,Cow,56340,33.2,26.8,502,402,9384,2887,6100,2264,Female,3
251,Z08151845,Chicken,15342,30.9,26.1,194,111,987,713,1209,931,Female,Adult
901,H08143880,Living Space,33671,33,27.3,461,177,2112,923,2092,763,,
901,Z08151811,Cow,55288,30.4,26.6,520,406,6953,2661,4774,2269,Female,2
902,Z08151804,Cooking Area - Inside,163806,30.066,27.31,481,135,7942,1558,3439,690,,
903,Z08151950,Cow,43628,30.2,26.9,447,411,6238,2849,4200,2526,Female,adult
903,Z08151951,Cooking Area - Inside,246572,30.059,27.085,553,141,7668,1294,5199,676,,
904,Z08151724,Cow,27899,32.4,26.6,,,5890,2953,2534,1379,Female,6
904,Z08151726,Chicken,14278,32.4,27.4,116,76,791,527,936,688,Female,1 year 2 months
905,Z08151882,Cow,171224,30.7,25.8,253,98,9363,1785,6005,894,Male,3
905,Z08151883,Chicken,57353,26,23.4,,,541,407,768,571,Female,Adult
906,Z08151742,Cow,19672,30.2,26.6,188,111,1709,1277,585,427,Female,8
907,Z08151767,Cow,66070,30.7,25.9,146,84,3415,1202,1864,465,Male,2 years 4 months
907,Z08151768,Cooking Area - Outside,17362,30.9,26.3,,,2834,2224,,,,
908,Z08151771,Cow,24506,30.7,25.3,,,4851,2877,,,Female,3
909,Z08151945,Cow,49486,30.3,27.2,500,397,5970,2458,3565,1899,Male,adult
910,Z08151930,Living Space,37844,27.372,25.549,,,1677,1068,1664,1001,,
910,Z08151932,Cow,6543,33.4,26.3,163,147,,,,,Male,4
911,Z08151679,Cooking Area - Outside,79475,31,26.9,,,12216,3670,9443,2679,,
912,Z08151820,Cow,76579,31.4,26.8,,,9845,3024,3932,1487,Male,3
912,Z08152275,Living Space,265001,22.804,21.817,,,5369,3100,2573,1963,,
913,Z08152154,Cow,36491,30.8,26.4,,,7197,3451,5056,2573,Male,4
914,Z08152247,Cow,142985,30.8,26.4,350,334,15460,3429,12199,2436,Female,4
914,Z08152248,Cooking Area - Inside,41410,28.358,26.226,300,144,2010,991,1279,607,,
915,Z08152256,Cow,196269,31.3,27.2,714,423,19836,3062,18913,2621,Male,3
916,Z08152245,Cow,124834,31.1,26.9,269,234,13118,3055,10130,1951,Female,3
917,Z08152174,Cow,269395,31.2,26.9,722,450,21442,2997,21755,2485,Female,4
917,Z08152178,Living Space,41141,27.4,23.7,731,517,5304,2838,2592,1566,,
918,Z08151846,Cooking Area - Outside,32138,26.3,23.2,,,2545,2050,,,,
918,Z08151847,Chicken,7895,32.9,27.6,,,,,795,706,Female,Adult
918,Z08151848,Cow,21354,33.2,27.1,,,5066,2798,2903,2072,Female,3
919,Z08152016,Cow,48994,30.1,26.9,542,493,7121,2966,4716,2697,Female,6 yrs
919,Z08152018,Cooking Area - Inside,47477,32.2,26.4,,,5753,1905,4083,1463,,
920,Z08152028,Cooking Area - Outside,11204,32.8,26.6,,,1251,1040,1210,928,,
920,Z08152029,Cow,33917,33.1,27.2,470,388,8310,3298,5044,2523,Female,6 yrs
921,Z08151987,Cooking Area - Outside,14816,32.3,27,524,333,2285,1556,1560,1099,,
921,Z08151988,Living Space,41714,31.1,26.4,1034,681,7155,2753,2729,1600,,
922,Z08161332,Cow,21105,33.7,27.4,,,5042,2919,3287,2160,Male,2 yrs
922,Z08161333,Chicken,57945,29.095,27.368,617,223,3414,1226,1765,736,Female,Adult
923,Z08152064,Chicken,35416,28.2,23.9,,,1198,788,914,559,Female,Adult
923,Z08152065,Cooking Area - Inside,100219,30.8,26.4,421,317,6097,1455,4319,1014,,
924,Z08151994,Cow,21661,33.4,26.3,,,5438,3024,3121,2104,Male,5 yrs
924,Z08151996,Living Space,28852,30.897,28.892,395,368,3232,1696,2080,1111,,
924,Z08151997,Cooking Area - Inside,262713,31.5,26.6,3717,755,22930,2448,13635,1719,,
925,Z08152059,Cooking Area - Inside,98678,29.179,26.858,642,499,,,,,,
925,Z08152061,Cow,27366,30.3,26.2,,,3535,2195,2776,1622,Female,24 yrs
925,Z08152062,Chicken,17647,31.8,26.2,,,1041,611,1021,724,Male,Adult
926,Z08152110,Cow,104818,31.4,27,498,301,13596,3026,11836,2463,Male,adult
926,Z08152112,Cooking Area - Outside,45804,31.4,26.7,594,447,5604,2133,3673,1495,,
926,Z08152113,Living Space,46287,29.942,27.177,674,283,3385,1266,2720,1085,,
927,Z08152222,Cow,52203,30.7,26.8,,,8695,3359,5766,2270,Female,3
928,Z08152122,Living Space,110032,31.297,28.373,580,122,5056,1321,2401,555,,
928,Z08152123,Cow,352946,30.6,25.5,469,272,22668,3298,19016,2143,Female,2
928,Z08152125,Cooking Area - Inside,4120,32.7,28.2,151,150,,,,,,
929,Z08152234,Cooking Area - Inside,34973,30.238,27.846,249,183,3452,1716,2216,1105,,
929,Z08152238,Cow,132675,30.4,26.8,471,334,16074,3143,10783,2353,Female,3 years 6 months
930,Z08152217,Chicken,25827,30.7,25.9,263,227,2115,1256,1544,771,Female,Adult
930,Z08152218,Cow,30754,31,26.6,,,6833,3403,5239,2910,Female,4
931,Z08152127,Cooking Area - Inside,10170,32.7,27.6,263,139,,,617,484,,
931,Z08152129,Cow,16205,33.3,26.1,,,3795,2496,1627,1151,Male,3
932,Z08152131,Cow,23955,33.4,26.4,,,6176,3153,3731,2328,Female,2 years 4 months
